OrderItemId,Store,Product,Gallons,Delivered Date Time
5168530,Jumbo 663,DSL,7650,2020-01-05 02:52:31.0133333
5164195,Jumbo 663,DSL,7740,2020-01-04 10:14:25.4300000
5163783,Jumbo 663,DSL,7690,2020-01-03 20:31:53.1666667
5161982,Jumbo 663,DSL,7590,2020-01-03 23:18:27.6700000
5161439,Jumbo 663,DSL,7610,2020-01-06 13:20:34.9866667
5157912,Jumbo 663,DSL,7610,2020-01-02 19:52:07.8000000
5157451,Jumbo 663,DSL,7570,2020-01-02 13:54:34.1400000
5157416,Jumbo 663,DSL,7500,2020-01-02 07:15:04.4700000
5153819,Jumbo 663,DSL,7655,2020-01-01 22:16:04.6666667
5153371,Jumbo 663,DSL,7590,2020-01-01 17:15:34.0300000
5150294,Jumbo 663,DSL,7590,2020-01-01 04:09:56.5366667
5144191,Jumbo 663,DSL,7610,2019-12-31 04:05:05.4533333
5144181,Jumbo 663,DSL,7570,2019-12-30 23:27:43.9133333
5144154,Jumbo 663,DSL,7690,2019-12-30 13:11:03.6333333
5144153,Jumbo 663,DSL,7500,2019-12-30 09:14:43.1633333
5140424,Jumbo 663,DSL,7690,2019-12-29 09:39:30.1766667
5139311,Jumbo 663,DSL,7690,2019-12-28 21:49:00.3133333
5136684,Jumbo 663,DSL,7570,2019-12-28 08:22:45.8666667
5135345,Jumbo 663,DSL,7690,2019-12-27 23:22:40.2533333
5132765,Jumbo 663,DSL,7500,2019-12-27 11:49:20.5066667
5129018,Jumbo 663,DSL,7570,2019-12-26 12:58:11.1566667
5128688,Jumbo 663,DSL,7570,2019-12-26 07:50:14.9600000
5128687,Jumbo 663,DSL,7690,2019-12-26 05:36:40.0000000
5126296,Jumbo 663,DSL,7610,
5125640,Jumbo 663,DSL,7500,2019-12-25 09:48:46.5000000
5119275,Jumbo 663,DSL,7500,2019-12-24 02:20:04.2866667
5117262,Jumbo 663,DSL,7650,2019-12-23 14:32:55.6733333
5115308,Jumbo 663,DSL,7650,2019-12-23 01:46:22.3800000
5113254,Jumbo 663,DSL,7650,2019-12-23 01:49:54.3833333
5113181,Jumbo 663,DSL,7690,2019-12-22 12:37:13.5666667
5110407,Jumbo 663,DSL,7500,2019-12-21 12:31:39.4800000
5106705,Jumbo 663,DSL,7655,2019-12-22 00:40:37.4333333
5106701,Jumbo 663,DSL,7770,2019-12-21 07:44:38.9333333
5105520,Jumbo 663,DSL,7690,2019-12-20 15:13:55.6600000
5104514,Jumbo 663,DSL,7770,2019-12-20 05:54:06.0733333
5104033,Jumbo 663,DSL,7590,2019-12-20 04:11:43.0100000
5103662,Jumbo 663,DSL,7770,2019-12-20 11:51:38.4700000
5103661,Jumbo 663,DSL,7590,2019-12-20 01:21:38.5200000
5097151,Jumbo 663,DSL,7740,2019-12-19 20:18:32.3266667
5097148,Jumbo 663,DSL,7650,2019-12-19 16:45:42.1900000
5092977,Jumbo 663,DSL,7690,2019-12-18 22:24:35.1800000
5092973,Jumbo 663,DSL,7740,
5092966,Jumbo 663,DSL,7690,2019-12-18 08:54:03.5700000
5092965,Jumbo 663,DSL,7690,2019-12-18 15:16:26.2200000
5092962,Jumbo 663,DSL,7650,2019-12-18 07:49:20.1800000
5092819,Jumbo 663,DSL,7655,2019-12-17 22:12:57.5566667
5088011,Jumbo 663,DSL,7590,2019-12-17 04:31:17.4933333
5086787,Jumbo 663,DSL,7570,2019-12-16 20:16:16.3600000
5086573,Jumbo 663,DSL,7650,2019-12-17 23:01:16.9766667
5086571,Jumbo 663,DSL,7500,2019-12-17 08:26:43.0400000
5086568,Jumbo 663,DSL,7500,2019-12-17 07:09:37.9600000
5084088,Jumbo 663,DSL,7500,2020-01-03 14:23:22.5466667
5084068,Jumbo 663,DSL,7500,2019-12-17 14:17:30.6733333
5084067,Jumbo 663,DSL,7500,2019-12-16 12:32:40.5266667
5081394,Jumbo 663,DSL,7610,
5081378,Jumbo 663,DSL,7500,
5081377,Jumbo 663,DSL,7650,
5079239,Jumbo 663,DSL,7500,2019-12-15 14:13:43.5200000
5076985,Jumbo 663,DSL,7570,
5076967,Jumbo 663,DSL,7500,2019-12-15 21:33:02.1100000
5076933,Jumbo 663,DSL,7650,2019-12-15 08:06:55.1133333
5073771,Jumbo 663,DSL,7500,
5071208,Jumbo 663,DSL,7500,2019-12-16 17:18:06.4600000
5067773,Jumbo 663,DSL,7500,2020-01-03 14:20:53.7666667
5066835,Jumbo 663,DSL,7500,2019-12-13 18:47:59.5200000
5066833,Jumbo 663,DSL,7500,2019-12-13 08:27:54.8666667
5066810,Jumbo 663,DSL,7500,2019-12-13 02:41:39.2866667
5065551,Jumbo 663,DSL,7610,
5065526,Jumbo 663,DSL,7590,2019-12-13 01:51:24.7300000
5065525,Jumbo 663,DSL,7590,2019-12-12 23:19:27.0166667
5064067,Jumbo 663,DSL,7690,2019-12-12 12:49:56.5733333
5061503,Jumbo 663,DSL,7500,2019-12-13 00:19:34.3633333
5061502,Jumbo 663,DSL,7500,2019-12-12 11:30:38.6133333
5058362,Jumbo 663,DSL,7590,2019-12-11 10:35:31.7733333
5058359,Jumbo 663,DSL,7690,2019-12-11 22:34:16.8066667
5058358,Jumbo 663,DSL,7690,
5058357,Jumbo 663,DSL,7690,2019-12-11 19:02:53.4200000
5056393,Jumbo 663,DSL,7500,2019-12-11 21:08:43.1366667
5056386,Jumbo 663,DSL,7500,2019-12-13 18:15:07.8000000
5051050,Jumbo 663,DSL,7500,2019-12-10 12:50:11.6000000
5051048,Jumbo 663,DSL,7500,2019-12-10 17:48:33.3466667
5050948,Jumbo 663,DSL,7500,2019-12-10 10:55:24.5533333
5050884,Jumbo 663,DSL,7650,
5050881,Jumbo 663,DSL,7570,
5050880,Jumbo 663,DSL,7590,
5050806,Jumbo 663,DSL,7590,2019-12-10 13:08:16.4366667
5050805,Jumbo 663,DSL,7590,2019-12-10 08:15:32.6900000
5049310,Jumbo 663,DSL,7500,2019-12-09 21:20:09.9966667
5049308,Jumbo 663,DSL,7500,2019-12-09 14:18:26.4366667
5046685,Jumbo 663,DSL,7650,
5046638,Jumbo 663,DSL,7650,2019-12-09 07:47:45.5933333
5042606,Jumbo 663,DSL,7610,2019-12-08 21:51:31.5866667
5041558,Jumbo 663,DSL,7650,2019-12-08 07:56:01.1300000
5041557,Jumbo 663,DSL,7740,2019-12-08 10:04:09.0366667
5037165,Jumbo 663,DSL,7690,2019-12-07 18:33:29.7800000
5037149,Jumbo 663,DSL,7590,2019-12-07 09:49:12.3966667
5037148,Jumbo 663,DSL,7590,2019-12-07 18:19:39.3633333
5035264,Jumbo 663,DSL,7690,2019-12-06 22:19:56.0200000
5032256,Jumbo 663,DSL,7770,2019-12-06 10:51:10.2600000
5032251,Jumbo 663,DSL,7740,2019-12-06 08:19:51.5833333
5027182,Jumbo 663,DSL,7740,
5027181,Jumbo 663,DSL,7570,2019-12-05 10:51:26.3633333
5027180,Jumbo 663,DSL,7570,2019-12-05 11:54:22.7833333
5027179,Jumbo 663,DSL,7770,2019-12-05 15:46:10.3100000
5027178,Jumbo 663,DSL,7500,2019-12-05 05:45:47.7733333
5024402,Jumbo 663,DSL,7650,2019-12-04 04:57:18.1933333
5023719,Jumbo 663,DSL,7590,2019-12-04 04:15:00.4400000
5022620,Jumbo 663,DSL,7570,2019-12-04 23:13:54.9433333
5022619,Jumbo 663,DSL,7740,2019-12-04 20:14:44.0066667
5022618,Jumbo 663,DSL,7590,2019-12-04 12:22:50.0766667
5022617,Jumbo 663,DSL,7590,2019-12-04 09:33:52.7466667
5022616,Jumbo 663,DSL,7650,2019-12-04 08:06:21.4500000
5022566,Jumbo 663,DSL,7500,2019-12-04 13:00:00.0000000
5022540,Jumbo 663,DSL,7500,
5016225,Jumbo 663,DSL,7570,2019-12-03 07:32:19.9300000
5016037,Jumbo 663,DSL,7500,
5016021,Jumbo 663,DSL,7500,
5015929,Jumbo 663,DSL,7650,
5015926,Jumbo 663,DSL,7570,
5015924,Jumbo 663,DSL,7650,
5015922,Jumbo 663,DSL,7610,2019-12-03 10:44:38.8766667
5015921,Jumbo 663,DSL,7610,2019-12-03 13:31:17.5266667
5013342,Jumbo 663,DSL,7570,2019-12-02 20:27:14.6100000
5010893,Jumbo 663,DSL,7500,
5010862,Jumbo 663,DSL,7610,2019-12-02 10:52:20.1200000
5008953,Jumbo 663,DSL,7590,2019-12-02 01:23:05.7800000
5008198,Jumbo 663,DSL,7610,2019-12-02 03:52:30.1366667
5006099,Jumbo 663,DSL,7690,2019-12-01 10:41:17.9366667
5001193,Jumbo 663,DSL,7500,2019-11-29 14:43:53.6600000
4996386,Jumbo 663,DSL,7610,2019-11-28 15:12:02.5233333
4994730,Jumbo 663,DSL,3000,2019-11-27 16:56:50.7500000
4993753,Jumbo 663,DSL,3700,2019-11-27 11:01:50.9200000
4993647,Jumbo 663,DSL,7610,2019-11-27 15:33:41.5733333
4990455,Jumbo 663,DSL,3785,2019-11-28 04:43:27.4566667
4990454,Jumbo 663,DSL,7570,2019-11-28 01:26:00.1200000
4990443,Jumbo 663,DSL,7610,2019-11-27 13:15:47.7533333
4990440,Jumbo 663,DSL,7610,2019-11-27 09:55:13.0433333
4983858,Jumbo 663,DSL,7610,2019-11-26 22:29:28.4700000
4983855,Jumbo 663,DSL,7590,2019-11-26 16:36:10.6900000
4983848,Jumbo 663,DSL,7590,2019-11-26 14:34:14.9266667
4983846,Jumbo 663,DSL,7590,2019-11-26 10:42:12.0200000
4981780,Jumbo 663,DSL,7500,2019-12-10 08:58:23.4633333
4979153,Jumbo 663,DSL,7590,2019-11-25 19:35:27.6300000
4979108,Jumbo 663,DSL,7650,2019-11-25 14:49:34.4333333
4976420,Jumbo 663,DSL,7590,2019-11-25 04:25:29.5000000
4976417,Jumbo 663,DSL,7610,2019-11-24 09:49:38.6400000
4969501,Jumbo 663,DSL,7655,
4969499,Jumbo 663,DSL,7500,2019-11-23 11:31:33.4000000
4969498,Jumbo 663,DSL,7770,2019-11-23 09:00:56.6433333
4966154,Jumbo 663,DSL,7570,2019-11-22 02:19:28.4933333
