Date,Total_sales
2019-07-04,12945.699999999999
2019-07-05,14116.34
2019-07-06,10507.1
2019-07-07,12674.6
2019-07-08,26088.09
2019-07-09,33360.3
2019-07-10,35290.09
2019-07-11,31005.18
2019-07-12,26257.78
2019-07-13,14028.57
2019-07-14,11728.49
2019-07-15,23800.97
2019-07-16,29592.48
2019-07-17,32122.45
2019-07-18,31042.98
2019-07-19,24785.9
2019-07-20,15086.61
2019-07-21,16051.72
2019-07-22,26064.079999999998
2019-07-23,29675.59
2019-07-24,26833.57
2019-07-25,35083.25
2019-07-26,24332.19
2019-07-27,14223.45
2019-07-28,12396.78
2019-07-29,24339.84
2019-07-30,33087.49
2019-07-31,30409.510000000002
2019-08-01,35701.16
2019-08-02,27157.62
2019-08-03,15271.68
2019-08-04,12466.59
2019-08-05,25763.96
2019-08-06,33178.53
2019-08-07,29731.09
2019-08-08,30921.27
2019-08-09,26189.79
2019-08-10,14704.26
2019-08-11,14053.46
2019-08-12,27103.43
2019-08-13,31559.079999999998
2019-08-14,32934.67
2019-08-15,30643.829999999998
2019-08-16,28940.12
2019-08-17,15317.88
2019-08-18,14877.43
2019-08-19,26334.46
2019-08-20,32451.29
2019-08-21,35832.89
2019-08-22,30054.31
2019-08-23,25721.9
2019-08-24,18251.59
2019-08-25,14516.09
2019-08-26,26610.17
2019-08-27,31004.37
2019-08-28,32473.85
2019-08-29,28589.47
2019-08-30,23050.97
2019-08-31,14534.94
2019-09-01,9391.43
2019-09-02,11478.36
2019-09-03,27027.04
2019-09-04,31148.83
2019-09-05,29088.36
2019-09-06,27329.02
2019-09-07,14584.89
2019-09-08,10933.5
2019-09-09,26668.49
2019-09-10,34026.74
2019-09-11,34524.42
2019-09-12,32638.61
2019-09-13,26117.72
2019-09-14,13683.18
2019-09-15,12290.4
2019-09-16,25397.21
2019-09-17,31451.82
2019-09-18,36160.33
2019-09-19,33831.79
2019-09-20,27611.89
2019-09-21,16879.28
2019-09-22,16185.69
2019-09-23,29813.89
2019-09-24,33478.47
2019-09-25,34360.08
2019-09-26,33109.56
2019-09-27,26734.84
2019-09-28,14567.98
2019-09-29,12649.89
2019-09-30,27623.22
2019-10-01,34688.72
2019-10-02,33845.16
2019-10-03,32083.39
2019-10-04,27963.06
2019-10-05,12878.8
2019-10-06,12769.960000000001
2019-10-07,28673.32
2019-10-08,34258.68
2019-10-09,29239.6
2019-10-10,33672.57
2019-10-11,24882.78
2019-10-12,16656.42
2019-10-13,13648.87
2019-10-14,27842.29
2019-10-15,30807.260000000002
2019-10-16,34214.840000000004
2019-10-17,35564.39
2019-10-18,31196.45
2019-10-19,15996.14
2019-10-20,14157.05
2019-10-21,28745.9
2019-10-22,39265.64
2019-10-23,37715.89
2019-10-24,32702.3
2019-10-25,23913.37
2019-10-26,16082.77
2019-10-27,14939.45
2019-10-28,27833.65
2019-10-29,30950.34
2019-10-30,34273.090000000004
2019-10-31,37149.93
2019-11-01,29161.36
2019-11-02,14895.56
2019-11-03,16077.61
2019-11-04,26393.18
2019-11-05,40228.27
2019-11-06,36230.59
2019-11-07,35291.76
2019-11-08,30523.32
2019-11-09,18114.18
2019-11-10,13020.52
2019-11-11,25571.4
2019-11-12,37918.18
2019-11-13,36433.8
2019-11-14,33153.79
2019-11-15,27437.58
2019-11-16,16760.54
2019-11-17,13891.12
2019-11-18,29297.11
2019-11-19,35423.340000000004
2019-11-20,32826.08
2019-11-21,33783.76
2019-11-22,27910.56
2019-11-23,14690.54
2019-11-24,15712.24
2019-11-25,26140.5
2019-11-26,30883.21
2019-11-27,28008.85
2019-11-28,10451.78
2019-11-29,10277.56
2019-11-30,10948.4
2019-12-01,15983.769999999999
2019-12-02,29293.52
2019-12-03,36018.29
2019-12-04,37413.09
2019-12-05,38236.1
2019-12-06,29884.88
2019-12-07,20265.71
2019-12-08,14858.2
2019-12-09,27548.829999999998
2019-12-10,36869.18
2019-12-11,35170.93
2019-12-12,35853.07
2019-12-13,28820.63
2019-12-14,16483.9
2019-12-15,18685.56
2019-12-16,29625.25
2019-12-17,37363.48
2019-12-18,35479.46
2019-12-19,37509.21
2019-12-20,26987.21
2019-12-21,16460.1
2019-12-22,15181.9
2019-12-23,14125.27
2019-12-24,8912.6
2019-12-25,5468.68
2019-12-26,16247.01
2019-12-27,17928.68
2019-12-28,11702.19
2019-12-29,11510.88
2019-12-30,20051.33
2019-12-31,19339.6
2020-01-01,13205.44
2020-01-02,22373.24
2020-01-03,25616.54
2020-01-04,16765.85
2020-01-05,14985.91
2020-01-06,23172.420000000002
2020-01-07,30765.44
2020-01-08,31214.16
2020-01-09,31519.96
2020-01-10,31417.89
2020-01-11,17336.39
2020-01-12,15611.880000000001
2020-01-13,31126.29
2020-01-14,34394.8
2020-01-15,35346.67
2020-01-16,37045.5
2020-01-17,31376.15
2020-01-18,17879.52
2020-01-19,15917.48
2020-01-20,27135.920000000002
2020-01-21,40479.68
2020-01-22,37237.42
2020-01-23,32445.69
2020-01-24,30306.11
2020-01-25,17672.420000000002
2020-01-26,15568.83
2020-01-27,25495.47
2020-01-28,37391.06
2020-01-29,35024.29
2020-01-30,34153.83
2020-01-31,28016.489999999998
2020-02-01,15644.3
2020-02-02,15696.28
2020-02-03,25739.78
2020-02-04,36944.82
2020-02-05,32685.31
2020-02-06,33919.05
2020-02-07,26326.53
2020-02-08,17290.38
2020-02-09,16109.34
2020-02-10,26292.79
2020-02-11,30577.8
2020-02-12,34188.43
2020-02-13,31833.72
2020-02-14,26200.32
2020-02-15,14337.4
2020-02-16,13831.14
2020-02-17,24681.67
2020-02-18,23791.05
